Tweets,Tweet Classification
 9 56pm fire outbreak in fagba and ekoro abule egba,0
 9 58pm it s not at fagba it s at ekoro area of abule egba,0
 9 38pm money exchanger urgently needed preferred location is ibadan,0
 9 41pm more from the fire scene at abule egba,1
 9 19pm pipeline junction katangora axis abule egba is currently on fire hope it s not activi8of vandals ,1
 9 19pm breaking now pipeline vandals at it s again there is another explosion now at abule egba,1
 9 19pm fire outbreak in abule egba oooo ,0
 9 23pm explosion pipeline exploded at ile epo closer to unity and alhaji church abule egba agbado oke odo area lagos lagos state fire service attention is highly needed ,1
 9 26pm pipeline is burning here at agbado oke odo ile epo side,1
 9 01pm pipeline fire outbreak at abule egba,1
 9 02pm pipeline abule egba come to our rescue,1
 9 11pm currently epo market around iyana ipaja lagos abeokuta express way there is pipeline on fire and the area is in disarray currently i m distant from the place so can t take pics ,1
 9 13pm fire outbreak at ile epo pipeline abule egba in alimosho lga,1
 8 45pm pipeline bursted and great inferno happening at abule egba right now passer by should take note and great care ,1
 8 45pm report reaching now that pipeline just bursted atm at abule egba ile epo area of lagos state ,1
 8 47pm breaking pipeline fire in ekoro abule egba it is raging ,1
 8 47pm massive fire outage in agege ,1
 8 49pm okeodo pipeline agbado oke odo lcda alimosho is one fire lord have mercy cc,1
 8 51pm 8 43pm via petrol explosion at abule egba lagos state,0
 8 58pm ongoing now fire outburst at ilepo area around orile agege lagos ,1
 8 58pm attention petrol pipeline just burst at abule egba ile epo anyone coming to dis side should find alternate route ,1
 8 59pm there s pipeline explosion at ekoro abule egba please rt,1
 8 39pm happening right now at abule egba axis another pipeline burst led to massive fire cc lagos state emergency services,1
 8 41pm i find this picture amp s behaviour utterly repulsive and disgusting femi fani kayode reacts to photo of anthony joshua prostrating for president buhari swipe for more reactions by nigerians cc,1
 8 43pm petrol explosion at abule egba lagos state,0
 8 10pm same goes for the outlet on hm way by spencer bus stop yaba please this has to stop ,0
 8 13pm thanks yede however it won t address thousands of car owners who don t live on the lekki axis and would require vouchers whenever to want to ply that route ,0
 8 14pm so has this nigeria big reach na mtn uganda back up we dey use what happen to ur backups at ajah phc etc,1
trying to figure out how you ll arrange lunch for your staff don t stress yourself let handle it for you their experienced and vetted chefs can prepare tasty meals and deliver swiftly call whatsapp 08135523685 to learn more ,0
if you saw this car in traffic wouldn t you turn your head to check out the content that s the attention grabbing nature of we think it s time to upgrade your outdoor marketing strategy call 08022498983,0
 land for sale asset sweetvilla phase i title gov excision location tagbati ibeju lekki price 2 5m 400sqm 3 5m 550sqm agent 08077789898 07056529676 info com,0
 7 20pm how best after dropping at eko hotel roundabout i will den trek to oniru new market right ,0
 5 31pm rent request a room self contained within surulere ikeja or ojodu dm for details and inspection ready to pay and move in ,0
 4 04pm plz can someone suggest fun relaxation spots in ojodu berger area,1
 4 10pm this road user got his etag today without no stress at the lcc logistics centre at lekki roundabout ,0
 3 54pm we have a lot of incompetent people in various offices lagos ibadan express is a big mess,1
 3 03pm heavy traffic on the long bridge inward lagos of the lagos ibadan express now 3 02pm,1
 2 53pm we are stuck on lekki ikoyi bridge inbound ikoyi wetin happen ,1
 2 42pm please what is the situation from ikeja enroute adeniran ogunsanya surulere,1
 2 22pm we demand an explanation for the epileptic power supply that we ve been experiencing for the past 2 weeks in akobo ibadan,0
 2 25pm mrs fueling station alaka surulere branch does dat too,0
 2 27pm please who knows any fast primsry amp secondary dns for basically for tweeps living around lekki lagos ,0
 2 28pm you can pay cash on lekki ikoyi till still passed there yesterday,0
 1 51pm full enforcement of cashless collection ikoyi link bridge toll plaza,0
 1 38pm since dey started that no cash at d toll gate i never reach that lekki area but i m going there today abeg what s d new process before we can pass toll gate ooo,1
 1 39pm orile mile 2 not good at all ,0
 1 07pm 13h05 lekki phase 1 roundabout,0
no need to worry about how you re going to arrange lunch for your staff let handle it for you their experienced vetted chefscan prepare scrumptious meals ensure they re delivered swiftly call whatsapp 08135523685 or visit,0
is a retail store that deals in luxury clothing lifestyle they use for outdoor marketing because it s cost effective attention grabbing and reaches a wide audience be like call 08022498983,0
 that hosts site inspections on wednesdays sundays if you re free today why not join them check out their investment opportunities more info 08077789898 info ng,0
 12 43pm also petrocam opposite lbs ajah and second roundabout lekki phase 1,0
the lekki ikoyi link bridge toll gate has gone cashless need help using the lekki ikoyi toll gate check out a very helpful twitter chatbot just follow and send a dm ,1
 12 21pm anthony ikorodu road heading o maryland ,1
 11 08am if indeed ikeja electric removed the faulty transformer repaired and re installed they kudos to them it is an improvement ,0
 10 20am with the gross inefficiency on your part if i stay in abule egba i will have to drive to your office to reg why not outsource to banks yeye dey smell,0
 10 09am inward and outward ibadan is 100klm hour as at now safe trip ,0
 10 11am inward and outward ibadan is 100klm hour as at now safe trip,0
 9 09am please can julius berger review their operations at berger to kara end of lagos ibd road it is causing excruciating pain to road users in and out of lagos it is like war front and no clear time when the pain will end ,0
 8 38am sanwo olu appreciates motorist on lekki ikoyi bridge cashless policy ,0
 8 12am the mrs fuel station beside unilag demanded n50 for using pos yesterday from me too so total is not alone on this,0
 7 50am 07h48 alfred rewane road sunday morning,0
 7 30am is the only company demanding n50 pos charge in nigeria had a fight with them at 195 ikorodu road onipanu b s yesterday ,0
 6 49am let s forget for now and beg julius berger to hurry up with the diversion at kara end of the lagos ibadan expressway people are not smiling the suffering is too unbearable ,0
 2 03am snow is my last name allen snow not allen sun ,0
vanguard nafdac alerts on using paracetamol for food preparation via,0
nice to see others looking into this idea ,0
 11 53pm for sale dry land of 1 200 square metres with extra 515 square metres set back for car park on lekki express road by osapa lekki lagos title governor consent price,0
 11 10pm the community must have repaired it definitely not ikeja electric ,0
 10 47pm please where is she i will like to adopt the baby ,0
 10 55pm thank you for reaching out to us for now the mainland centee is located at ndybisi park alausa ikeja,0
 10 31pm celebrating other country s success when are you going to produce your own to be celebrated in nigeria am sure if anthony joshua lived in nigeria he wouldn t be celebrated like this,0
 10 18pm president buhari with heavy weight champion anthony joshua other nigerians in uk photos nysc eminem wizkid roddy fashola peruzzi,0
sometimes you re buried in so much work that it s tough to figure out how where what you re going to eat you heard of their experienced vetted chefs can handle your breakfast lunch and dinner for you swiftly call whatsapp 08135523685 to learn more ,0
can handle all your car branding wrapping needs give them a try call 08022498983 or visit,0
check out this sweet deal from asset sweetvilla phase i title gov excision location tagbati ibeju lekki price 2 5m 400sqm 3 5m 550sqm interested contact 08077789898 07056529676 info com,0
 8 49pm photos nigerian born heavy weight champion anthony joshua post rates to show sign of respect from president mohammadu buhari ,0
 8 16pm everything will soon be amotekun in nigeria fa pure water bread shoes bus stop motto park nicknames street names stadiums brt infact please l want to be called amotekun ,0
 8 29pm video anthony joshua presents belts to buhari prostrates ,0
 8 01pm these guys needs to be apprehended please if you must board a bus to oshodi on ikorodu road it must be the lt buses no danfo plies oshodi from ikorodu road let s stay vigilant,0
 8 01pm nice one i love this policy pls one down to abule egba and ile epo oja you see more than 50 offenders to do community service,0
 7 59pm this man has been disturbing me via this number 234 703 198 7177 ara twitter e gba mi o from i want to learn massage to come to my hotel room in apapa,0
 7 33pm oluwa wetin dey transpire for this traffic naaa lateef jakande rd at the moment ,0
 7 41pm photos rehabilitation work by lspwc gradually rounding off at market street shomolu and bush street maryland ,1
 6 42pm if you don t have tag to through oniru alternative route or the main admiralty toll gate for now ,1
 6 48pm got anybody who stays around maryland anthony ikeja and can work as a dispatch rider pls dm or call 08132578261 for urgent employment,0
 5 37pm 17h35 adetokunbo ademola street v i,0
 5 11pm got anybody who stays around maryland anthony ikeja and can work as a dispatch rider pls dm or call 09016856164 for urgent employment,1
 4 32pm pls ikorodu road free abegi down to ikorodu garage ni,0
 4 37pm from a reliable source a sales rep needed at elegance motors ltd no 29 ikosi road off oregun ikeja lagos email elegancemotorsltd16 com male or female with good command of english with either ond hnd or bsc cc,1
 4 40pm what s all this okoto this ojuelegba lizzo is saying she better find a way to pack those weapons of destruction b4 saying anything ,0
 3 13pm make and communicate the rule that vehicle owners with no etags or who haven t funded their etag accounts will have to pay n1000 cash for the ikoyi toll and n500 for the lekki toll enrolment rates will jump,0
 2 49pm how much will it cost me for moving a mattress from progress estate baruwa to ikota any movers please ,0
 2 54pm agbalumo igbogbo ikorodu transformer blew on the 2nd jan removed repaired amp returned by 15th fully repaired ,0
 2 21pm 14h17 alfred rewane road ikoyi,0
 2 13pm own a two bedroom apartments in mansfield luxurious apartments surulere lagos with a down payment of 3 5m plus a trip down to dubai with all expenses paid ,0
 but how do you intend to do man o war dressed like that ,0
 12 43pm berger needs to expediate actions on that road they cant be subjecting people to untold hardship on a daily,0
 12 07pm they can even give me for free shey ,0
 11 49am the university just few metres away from obafemi awolowo and allen roundabout ikeja ,1
 11 33am pls what s lagos ibadan expressway looking like inward lagos ,0
 11 36am allen ikeja i was like who s the vc oremi laughed,0
calling all professional chefs you may not be able to start a business but you can join a platform where you can easily find work signup on to connect with customers that need quality food for events private corporate use visit,0
whether you own work for a company or you re an individual and you need to brand wrap your just get in touch with just call 08022498983 or visit,0
the best time to invest in was 10 years ago the next best time is right now secure a brighter future invest with for more information 08077789898 07056529676 info com,0
 11 03am yet to see any around fadeyi axis,1
 8 55am from ibadan to lagos is free but if it lagos to ibadan unless traffic managers intervene i doubt if any progress would be made,1
 10 29am traffic gridlock yesterday was the baddest on my way home couldn t believe i was on the road by 1 a m just because the lagos ibadan expressway was partially closed ,0
 10 30am okada oga abeg na car driver bros please epp my life ,0
 10 33am you do well they use that their begging to cheat motorists after their recklessness ,0
 10 38am it s only a temporary inconvenience people we will all be better for it when the construction on the lag ibadan is completed ,0
 7 16am ojota that smell from the dumpsite na signature smell,0
 7 24am wow i got home around 1am though heard the traffic is weird please guys can you do something about late night travails traffic around ikeja towards berger yesterday was crazy,0
 7 00am when you leave home early so as to beat traffic and arrive on time then you arrive too early cele express to lawanson then cms is free ,0
 7 11am please come to olu aina in mushin,1
 6 12am this is 6 09am and lagos ibadan expressway outward lagos is already very slow movement ,1
 5 26am where r u now as i m about to leave for ibadan,1
 4 47am from alausa where i joined it to berger i spent an hour plus,1
 4 44am the traffic on lagos ibadan tie wrapper since yesterday fa,0
 4 14am yes see the picture of one danfo at fadeyi bus stop cross express at ikorodu road ,0
 2 18am please i need 80kva or 100kva generator to use in lekki this morning it s urgent please rt cgpa,1
 1 37am 01 30am lagos ibadan expressway outbound lagos is completely blocked,0
 1 19am its 1 13am saturday morning amp there s heart wrenching soul depressing traffic on lagos ibadan expressway ogba inward ogunnusi berger isheri axis why is life so hard for commuters in lagos ,0
 1 02am 1am agindigbi inwards berger isheri road ,0
 1 06am motorways inward ojodu berger is lock down at this hour of the day,0
 11 37pm please what us happening on agidingbi road,1
 11 19pm this traffic logjam towards berger is capable of making a married man become a bachelor again how do you explain to your wife that you have been in the traffic for several hours at this time of the night,0
 11 11pm i had the exact same experience today at forte oil filling at fola agoro junction yaba,0
 10 19pm how can we build a smart city with thousands of lagosians paying for dis service daily at the lekki admiralty tollgate ,0
 10 24pm please i recommend critters vet center in lekki ajah that s where i take my pet to they are the best this is animal cruelty ,0
 10 24pm alausa to berger it s been 3 hours now,0
 10 27pm dear please do not abandon yaba bus park thanks ,0
 10 13pm this is total incompetence from you julius berger and do we have to die before you find a lasting solution peoples life are at stake job at stake,0
are you a professional chef looking for work why don t you signup on the platform to gain access to customers that need quality food for events personal consumption corporate use visit,0
unwind this weekend with your love by check out the track on also available on major digital streaming platforms listen share enjoy ,1
need to brand wrap all your company cars or maybe you just have a single car you need to wrap with an ad promoting your new product service or event get in touch with call 08022498983 or visit,0
not comfortable investing in without seeing the land first no worries hosts site inspections on wednesdays sundays why don t you join them more info 08077789898 info ng,0
 9 33pm haaaaa lagos badagry own touch me o it s well as long na,1
 9 18pm nnpc filling station badore ajah still charges 50naira on pos for any amount bought,0
 9 25pm saw this at maryland inward airport,0
 9 06pm if you re traveling out of lagos there s gridlock on lagos ibadan expressway outward lagos be prepared for stand still traffic from lagos toll gate to mfm cc,0
 9 12pm disaster waiting to happen along agege motor road,0
 8 52pm i hope there will be roads signs like slow down bumpy road or potholes ahead or road to repaired ,0
 8 55pm please a friend needs a mini flat in port harcourt asap a mini flat along stadium road budget is 600k ,0
 8 56pm kitchen support staff needed for immediate employment minimum of ssce must reside around surulere lawanson orile ijesha numbers to call 08053400601 09037366634,1
 8 43pm was in the exact same situation at the exact same gas station i drove off and e see up at enyo on lekki express they didn t charge the n50 the banks and vendors need to be compelled to refund all this money ,0
 8 26pm can vouchers and prepaid cards now be purchased on the mainland or you are still restricting it to island lekki only ,1
 8 28pm a truck broke down immediately after 7up bus stop if you re coming towards ojota via lagos ibadan expressway brace yourself traffic is getting really gangster ,0
 8 05pm lawlessness that stupid trick is very common especially around yaba bariga somolu they literally hide the post and then extort you ,1
 7 51pm too much traffic at gbagada to osodi,0
 7 30pm please come to our aid at sabo bus stop yaba traffic light is the problem please all officials in charge help us ,0
 7 23pm funke akindele disappointed many as she was not present at her father s burial held at methodist church itaelewa ikorodu today,0
 7 25pm please who knows a delivery company that can help deliver from ikeja to obalende tomorrow afternoon ,1
 6 45pm moving traffic currently from anthony inward lastma office along oshodi oworoshoki express way,1
 6 38pm moving traffic currently from adeola odeku to odeku junction,1
 6 38pm moving traffic currently approaching barracks inward volks along badagry express way,1
 6 39pm high influx currently on adetokunbo ademola inward eko hotel roundabout,0
 6 40pm leventis inward maryland currently moving traffic,1
 6 41pm moving traffic currently on akin adesola inward alfred rewane,1
 6 41pm heavy traffic on allen avenue ikeja cc ,1
 6 43pm busy traffic currently from yaba inward old ojulegba road,0
 5 38pm the child s comes first in western world she refused to go with the mum that left her for 8 years i guess she came back richer that made the man hopeless,0
 5 13pm funke akindele disappointed many as she refused to grace and present at her father s burial held at methodist church itaelewa ikorodu ,1
 4 48pm 04 47pm there is heavy traffic from to and free movement from to,0
 4 49pm lasu anything to raise funds,0
 4 26pm pub1 at ikeja gra,1
 3 57pm unmoving traffic from boundary to marine beach to ijora not sure what the cause is ,0
 3 37pm that shoprite side and at magodo its becoming too much ,0
 3 16pm not that one alone all those filling stations along awolowo road do charge ngn50 on pos transactions ,0
 3 14pm just take a bus f4om sango going to oshodi and alert at ikeja along cross to the other side and take a bus or keke going to ojota ,1
 2 46pm third mainland bridge heading to ikorodu rd is a steady movement return journey is good to go ,1
 2 38pm for ur group weekend trips airport pick up picnic owanbe and so on contact me on 08039419480 ,0
 2 26pm do we have a local government chairman in kosofe lga ,0
 1 37pm tantalizers at iyana ipaja still charged 50naira on a 750 order yesterday ,0
 1 17pm guess the father didnt have a lawyer cos even me wey no go law school with just simple knowledge of law from movies will win the case for the man ,1
 1 03pm actually this happens very often in the western world where the law favours the mother ,0
 1 08pm it happens in the western world too,0
 12 32pm just thinking pls wht are the functions of a local govt chairman and what are his her responsibilities because am not understanding again ,1
 12 34pm the two stations before berger bus stop on lagos ibadan expressway do this as well perhaps they know nothing will happen i guess,1
get easy access to professional pre screened cooks that can prepare your meals for events personal consumption or corporate use visit to learn more for enquiries call whatsapp 08135523685 ,0
 12 00pm an uncompleted three storey building on friday collapsed at 12 alasepe street off community road ago palace way okota in lagos state a yet to be identified man is trapped under the rubble adding that a rescue operation is ongoing ,1
 12 09pm see from mosholashi roundabout down to agege okekoto junction the road is hell,0
 11 16am i know one at gbagada imagery 08110606407,0
 your love by thobbie check it out on also available on all major digital streaming platforms listen share enjoy also follow on tw and ig,1
 10 51am hotel with 17 units multiple suites on 2800 sqm at _ lekki phase 1 at,0
 10 55am the construction worker resurfacing ile zik to dopemu wont cordon off the road now when pressure on the is less but would prefer to wait till peak period for them to cause grid lock ,0
 10 42am getting the trucks off the road at iponri end western avenue and clearing the cms bus stop will save commuters about 30mins travel time on their daily one way trip lagos can truly be sweeter than this quoting one of the musicians,0
want to brand your company cars contact they can assist with everything related to car wrapping branding just call 08022498983 to learn more or visit cc,1
want to invest in if you re free on wednesdays sundays why don t you join for site inspections check out their offerings and invest with confidence more info 08077789898 info ng,1
 9 46am funsho williams avenue heading down to obanikoro falling of a truck before obanikoro ,1
 9 55am we received new incident severe traffic congestion at alaka bustop oke ira lagos nigeria click here to see details secureview,1
 9 34am someone just reported vehicles parked around cipm road alausa are being towed by lastma rightfully though if your car is parked there or know someone go remove o before they tow it,1
 9 29am lagos 0858hrs a fallen truck at fadeyi inward maryland is causing heavy congestion on ikorodu road and funsho williams avenue,1
 9 01am mushin thru jibowu rail line is not funny at all even inw street is also locked down,1
 9 02am fallen truck as usual,1
 8 46am trailer fell across the expressway at fadeyi b stop blocking the entire highway holdup has extended to stadium alaka ,1
 8 52am outward lagos on lagos ibadan expressway is good to go ,1
 8 44am under bridge stadium free atm ,1
 8 19am avoid jibowu to fadeyi route heavy traffic due to accident,1
 8 26am there is a fallen truck fully loaded with golden penny flour that has now caused a long traffic stretching all the way to stadium,1
 8 29am if you heading towards ojuelegba from eko bridge just drive underneath stadium and navigate through surulere to continue your journey it s very tight here ,1
 8 00am 7 55am there is no traffic from to and free movement from to,1
 8 01am town planning way inward anthony currently good to go,1
 8 10am must i be at the mall b4 i can get registered coming to lekki without using the lekki link bridge is a serious thing now bcos of traffic so pls consider online registration too,1
 8 14am oh no not my route again this should be fadeyi ,1
 7 46am a trailer has fallen on ikorodu road fadeyi inwards maryland find alternative route ,1
 7 47am busy traffic currently from bolade inward oshodi,1
 7 47am busy traffic currently at ijora inward eko bridge,1
 7 52am isaac john gra ikeja ask of janet ,0
 7 56am i will dm u now sir ,1
 7 56am oshodi enroute gbagada currently good to go,1
 7 57am 7 55am there is no traffic from to and free movement from to,1
 7 33am can we agree that lagos roads are in shamble i went akowonjo egbeda dopemu round about even by alimosho lga potholes everywhere,0
 7 38am gracias sir i try to stay away from home service offers for sec reasons ,0
 7 39am on it,0
 7 42am the committee should visit edmund crescent off murtala muhammed way yaba to do same for abandoned vehicles obstructed free movement on the road ,1
 7 44am there is heavy traffic from ojuelegba to fadeyi a truck fell on the express road ,1
 7 16am if you are going to maryland from stadium yaba find an alternative route a container carrying flour fell some minutes ago at fadeyi total blocking a large part of the main carriage way,0
 7 17am ask peeps at agege they sold the dream of a bridge to construction isn t even half way done 2 years into the project and the traffic the detour routes create along that axis is gangster ,0
 7 21am moving traffic currently from hassan bustop inward iyana isolo along apapa oshodi express way,1
 7 21am avoid surulere inward fadeyi onipanu there is a fallen tanker the major road is blocked amp all cars are taking the service lane 7 10am,0
 7 24am from sango take a bus to abule egba from abule egba to agege then to berger from berger to ojota then drop at secretariat we will have to trek back on nurudeen olowopopo way to japaul building,0
 7 28am lekki but not ordering yet,1
 7 29am moving traffic currently from after cms to officer s mess,1
 7 29am bode thomas inward stadium currently good to go but slight traffic at major alternation,1
 7 29am unilag water front enroute adeniji currently high influx,0
 7 13am japaul is not even in agidingbi take motor going to berger you would ve seen it from d express after mko garden,0
 6 50am agege spirit ,1
 6 21am slow movr western avwnue truck movt,1
 11 02pm our allen roundabout is going mixed feeling cc,1
 10 17pm if you are moving towards berger and ibafo mowe axis don t bother traffic is demonic ,0
 10 14pm gbagada lagos,0
 9 45pm they need to past this notice on the fedex trucks by zenith bank off airport roads those guys are constituting madness on that road ,0
 9 48pm no light on 3mb ,0
 9 54pm please come to gbagada,0
 9 34pm when you get to ikeja take a bus going berger express tell the conductor you wan drop for japaul house na the building dommot them go drop you ,0
 9 39pm he wants to go to colorado without a valid visa,0
cc,0
 9 23pm there s this man that s use to help students from badore to one school at owode langbasa road with his pick up vehicle those one used to carry cement ,0
 9 24pm please how can i get to japaul house at agidingbi via public transport coming from sango ota,1
 9 03pm if you are asthmatic no pass that ikeja mangoro cement axis ooo there is a terrible traffic on this axis and the better option is to walk pass that ile zik bus stop and then flag down a bike,0
 9 06pm please any update on this report of an accident that occurred at badore area lekki involving a school bus with at least 10 school kids feared killed in the accident ,1
 9 10pm heavy traffic tonight on lagos ibadan express road cc ,0
 8 47pm i need a very good toyota ac technician around ijaye alagbado axis he must know his onions ,0
 8 36pm is high time lagos state government need to stop task force pursing okada on the high way here from oshodi down to sango they are at ile zik now firing teargas in the air,1
 8 40pm whenever i am on ojota bridge in the evening and i the have the chance to look through the glass i smh for ikorodu l island daily travellers dem dey try ,1
 8 41pm on third mainland bridge he must be v late,0
 8 12pm i m not sure of the address but it s on oduduwa crescent gra ikeja the place is newton and david ,0
cc,0
 7 50pm as usual lagos abeokuta expressway is locked down agege motor road is good to go from ile zik down to capitol junction ,1
 7 51pm standstill traffic at coker extending to alaba suru and mile 2 bus stop,1
 7 54pm serious standstill traffic at coker extending to alaba suru and mile 2 bus stop,1
 7 20pm there is still traffic at lekki inward ajah ,1
 7 03pm pls i need traffic update on ikeja along to abule egba,0
 7 07pm the draining on finbarr s road akoka is almost nonexistent rainy season will be here soon ,0
 6 46pm i shot the video from my office and right now ibadan expressway to and fro is blocked please avoid it,1
 6 50pm can find lasting solutions to iyana oworo bypass pls expand the bus stop and create more room for vehicle to drop commuters or just enforced the law,0
 6 52pm sir the stationary trailers were the cause for the traffic even to go out of apapa as i am writing is an horrible situation ,1
 6 59pm what is really wrong with lagos and traffic oh lagos ibadan express is just something else just to reach berger from ikeja secretariat person go spend hours ,1
 6 30pm busy traffic currently from babs animashaun inward doyin,0
 6 38pm i know you are in traffic now be it 3mb lekki traffic or trade fair be safe you have got loved ones at home ,0
 6 42pm this man as forget what happened at maryland the danfo boy can push him down it can lead to hospital or die never fight danfo alone ,1
 6 15pm never will i watch a live nigeria match at any stadium in naija my near death experience at age stadium has taught me a lesson,1
 6 16pm currently stand still traffic from mile 2 under bridge inward mile 2 oke,1
 6 16pm leventis inward maryland currently busy traffic,1
 6 17pm slight traffic approaching abule ado inward barracks along badagry express way,1
 5 48pm high influx currently on ajose adeogun inward eko hotel roundabout,0
 5 50pm free movement currently from oshodi alaba express along apapa oshodi express way except for slight traffic at toyota and iyana isolo,1
 5 51pm moving traffic currently from fatgbems filling station inward mile 2 along apapa oshodi express way,1
 5 51pm agidingbi inward radio currently high influx,1
 5 51pm moving traffic currently from olusosun inward ojota,1
 5 56pm okobaba sawmill in ebute metta to relocate to agbowa in ikorodu ,1
 5 56pm 17h54 there is a broken down danfo at ilubirin twds ijora to costa in is free,0
cc,0
 3 50pm is the cctv capturing the policemen at berger bus stop that collect thrift money every day,0
 3 23pm lastman law enforcement agents at ketu mile12 should be made to direct and clear stagnant traffic and nt to arrest to be bribe ,0
 3 13pm many thanks to and every other including and for the prompt respond to the accedent that occurred along lasu iyana iba road e see gaan ,0
 2 50pm agege based cleric apprehended for defrauding follower of n4 3m,1
 2 20pm there was a petrol tanker that tumbled along village before lasu gate n it s filled with fuel so all forces are there diverting people to go through bush,0
 2 29pm please what s d update on the faulty truck on by post office ladipo mushin i left earlier today ,1
 2 01pm lasu as this minute to iyana ipaja,0
 2 12pm he for enter arizona finish before going to colarado na they no tell am,1
 1 53pm last name of colorado is madness,0
 1 54pm i can make home delivery or you pick up at oshodi or ojota,0
 1 44pm sales girl boy urgently needed in a gift shop in anthony village lagos if you stay around that axis or know anyone who does please send a message please retweet cc ,0
 1 20pm colorado no be small pikin load o i can t try these shit,0
 1 22pm a broken down loaded sewage tanker on falomo bridge inward akin adeshola with mechanical fault backlog has extended to the stretch of alfred rewane,0
 1 07pm please i need a logistic company that can deliver an item from lasu_ojo area to berger asap,0
 12 39pm same question for the abadonment of oko road and orile road we have been on this case since november i hope same worries on the link road between oba akran and asade market by guinness ,0
 12 07pm how is the traffic in your area today admiralty way lekki phase one is free ,1
 11 49am what exactly is this colorado of a thing ,0
 11 54am ok what if someone built like the rock or john cena smokes this colorado and his brain disappears who will hold him ,0
 11 55am but what is really wrong with people stop smoking colorado una no dey hear ooo ike gwu,0
 11 58am bush street maryland palliative ongoing,0
 11 31am 4 163 sqm along lekki epe expressway by chevron tollgate title gov consent price n750million call 07012345434,0
 11 35am what s colorado please,0
 11 24am bros if you hear colorado run it a kind of weed,1
 11 24am 3 610 sqm land at lekki phase 1 opposite millennium estate title gov consent price ngn 700 million call 07012345434,0
 10 48am its videos like this that s made me not to try this colorado shit,0
 10 56am who gives all this smoke names colorado malikush etc or maybe the leaves have crested names on them ,1
 10 59am colorado is a synthetic drug produced in the lab laced with cocaine and looks like marijuana no to colorado,0
 10 15am alausa ikeja lagos state,1
 your love by via listen share ,0
for companies and clients who want to brand their cars contact they can assist with everything related to car wrapping and branding call 08022498983 or visit cc,1
 10 11am how is lagos is ibadan expressway this morning outbound lagos,0
if you re free on wednesdays or sundays join for site inspections take a closer look at their offerings so you can invest with confidence fore more info 08077789898 08088854558 info ng,0
 9 48am we received new incident severe traffic congestion at owode onirin ikosi ketu lagos nigeria click here to see details secureview,1
 9 58am gbagada take the bridge gbadamosi badmos agbadarigi badagry these were translated for your forefathers during the slavery era ,0
 9 58am for sale 12plots of land in peniel garden estate sangotedo ajah title gazette price 15m per plot,0
 9 59am wait o is this colorado a drink or a smoke ,1
 9 33am there is serious traffic gridlock at lasu iba town axis of the lasu igando road now caused by a petrol tanker spilling content on the road at village gate bus stop ,0
 9 34am this is really incredible we need the infrastructure no doubt but the works can be done with more finesse ,1
 9 37am traffic is back on ijora bridge inward apapa,1
need to know your options for passing the lekki ikoyi bridge toll how to get an etag how to top up your account how to get the lcc mobile app toll charges for different vehicle classifications follow and send a dm to get quick answers ,0
 8 45am timeline hmmmm it is all the way to lagos toll gate they haven t moved to the other side we should prepare for more,1
 8 52am 8 52am stand still at lasu road with petrol tanker full load tumbled,0
 8 31am you want to travel this weekend within the south western states kindly dm cc ,0
 8 15am stadium ikorodu ikorodu road sunkere fakere,1
